4,8,0,2,5,5,4,8,0,2,7,7,4,8,0,3,3,6,0,0,1,1,0,6,0,0,0,0,0,6,0,0,0,0,9,9 * D
0,0,0,6,0,0,8,0,0,6,11,11,8,0,5,5,10,2,1,1,4,0,10,2,0,0,4,3,3,3,0,9,9,7,7,0 * D
6,0,9,9,8,0,6,0,0,10,8,0,6,0,4,10,1,1,7,7,4,0,0,2,0,0,3,3,3,2,5,5,0,0,0,0 * G
9,9,9,5,5,5,7,7,6,12,0,0,4,10,6,12,0,0,4,10,0,1,1,0,3,3,2,11,11,8,14,14,2,13,13,8 * G
2,0,0,11,11,0,2,4,0,0,7,7,12,4,9,9,9,0,12,0,1,1,8,0,5,5,6,0,8,10,3,3,6,0,0,10 * G
11,11,7,7,7,12,13,13,6,9,9,12,1,1,6,4,8,12,10,0,2,4,8,0,10,14,2,0,0,0,10,14,3,3,5,5 * D
6,0,9,9,8,0,6,0,0,10,8,0,6,0,4,10,1,1,7,7,4,0,0,2,0,0,3,3,3,2,5,5,0,0,0,0 * G
0,8,10,3,3,3,12,8,10,0,0,2,12,5,5,6,4,2,1,1,0,6,4,2,0,0,0,11,11,11,0,7,7,9,9,0 * D
0,6,11,11,0,8,0,6,4,5,5,8,1,1,4,0,2,12,0,7,7,10,2,12,0,0,14,10,9,9,13,13,14,0,3,3 * D
0,0,11,11,11,10,0,7,7,0,0,10,8,6,4,9,9,2,8,6,4,1,1,2,0,0,4,5,5,5,3,3,3,0,0,0 ** G
0,7,7,11,11,11,12,12,4,2,9,9,1,1,4,2,8,0,0,0,0,2,8,10,6,0,5,5,8,10,6,0,3,3,3,0 ** D
7,7,2,6,14,14,9,9,2,6,13,13,0,0,2,10,1,1,5,5,0,10,0,0,12,3,3,0,4,8,12,0,11,11,4,8 ** G
6,7,7,0,0,0,6,8,11,11,10,0,6,8,1,1,10,0,0,8,4,0,0,2,5,5,4,3,3,2,9,9,9,0,0,0 ** G
5,5,0,7,7,7,9,9,4,6,0,12,8,0,4,6,0,12,8,0,0,2,1,1,3,3,3,2,10,0,0,0,11,11,10,0 ** G
0,12,0,9,9,10,0,12,11,8,8,10,0,12,11,7,7,0,1,1,0,0,6,0,2,0,5,5,6,0,2,4,4,4,6,0 ** D
0,0,2,3,3,0,0,0,2,0,4,0,6,6,6,5,4,0,0,1,1,5,4,0,7,8,8,5,0,0,8,0,0,0,9,9 ** D
0,0,0,3,3,0,2,0,5,4,4,0,2,0,5,6,0,7,2,1,1,6,0,7,0,0,0,6,0,7,8,8,8,0,0,0 ** D 
0,0,0,0,3,3,0,8,10,11,11,0,0,8,10,0,5,5,0,6,1,1,4,2,0,6,7,7,4,2,9,9,0,0,4,2 ** D 
14,5,5,5,11,11,14,0,7,7,7,4,13,13,2,6,0,4,1,1,2,6,8,12,0,10,3,3,8,12,0,10,0,0,9,9 *** D
0,0,2,3,0,0,4,0,2,3,0,0,4,6,7,8,1,1,5,6,7,8,11,0,5,6,9,9,11,0,0,10,10,10,0,0 *** G
0,0,2,3,4,4,5,5,2,3,6,0,7,8,8,8,6,9,7,0,0,1,1,9,10,0,0,11,0,9,10,0,0,11,12,12 *** G #Issu d'un jeu. 
2,3,3,4,4,0,2,0,6,5,5,0,7,7,6,0,0,13,8,0,1,1,12,13,8,9,9,10,12,14,11,11,11,10,12,14 *** D #Issu d'un jeu.
0,0,2,3,3,0,0,5,2,4,4,0,0,5,6,7,0,0,1,1,6,7,0,13,8,9,9,11,12,13,8,10,10,11,12,0 *** D #Issu d'un jeu. 
0,2,3,3,4,4,0,2,5,6,6,0,7,7,5,0,0,0,8,1,1,9,0,0,8,0,0,9,10,0,11,11,11,9,10,0 *** D #Issu d'un jeu
2,2,3,0,0,0,0,0,3,4,4,4,5,5,6,0,0,0,10,0,6,1,1,7,10,9,9,8,0,7,10,0,0,8,0,0 *** G #Issu d'un jeu. 
2,3,3,3,4,0,2,0,5,5,4,0,2,0,0,7,6,6,1,1,10,7,0,0,0,0,10,8,0,0,9,9,9,8,0,0 *** D #Issu d'un jeu. 
0,2,2,3,4,4,5,5,6,3,0,0,7,0,6,8,8,8,7,1,1,9,10,11,7,12,0,9,10,11,0,12,0,13,13,11 **** G #Niveau le plus difficile à avoir : issu de recherches 
